day,date,base_region_1,base_region_2,base_region_3,base_region_4,base_state,now_region_1,now_region_2,now_region_3,now_region_4,now_state,now_1_p,now_2_p,now_3_p,now_4_p,now_5_p
Fri,2022-02-11,15145.0,10099.0,16224.0,15923.0,14886.0,14411.0,9449.0,14807.0,14732.0,13897.0,-0.04846483988114891,-0.06436280819883156,-0.08733974358974361,-0.07479746278967536,-0.06643826414080345
Sat,2022-02-12,11519.8,7889.05,12944.2,12113.0,11668.441247382,11543.0,7765.0,12301.0,11917.0,11395.0,0.0020139238528447123,-0.015724326756707097,-0.04969020874213936,-0.01618096260216295,-0.02343425669159971
Sun,2022-02-13,10325.4,6983.0,11007.2,9804.4,9986.48397982098,9748.0,6682.0,9871.0,9890.0,9360.0,-0.05592035175392718,-0.04310468280108837,-0.10322334471981987,0.00873077393823185,-0.06273318828597474
Mon,2022-02-14,13844.6,8934.4,14448.8,13216.0,13171.8676131812,12934.0,8580.0,13356.0,13214.0,12521.0,-0.06577293674067874,-0.03966690544412599,-0.07563257848402627,-0.00015133171912828924,-0.049413464536332885
Tue,2022-02-15,13355.3,8421.9,14532.2,13144.0,13039.5115867162,13351.0,8756.0,13674.0,13510.0,12829.0,-0.00032196955515784165,0.03967038316769389,-0.05905506392700355,0.02784540474741326,-0.01614413126720604
Wed,2022-02-16,13887.9,8907.45,14965.6,14366.0,13606.714213936,13631.0,8909.0,13966.0,13913.0,13119.0,-0.01849811706593507,0.00017401164194019714,-0.06679317902389481,-0.03153278574411811,-0.03584364353272618
Thu,2022-02-17,13354.7,8574.0,15085.8,14078.2,13483.3595145994,13608.0,8728.0,12658.0,12621.0,12210.0,0.018967105213894664,0.017961278283181725,-0.16093279773031588,-0.1035075506811951,-0.09443933562853102
Fri,2022-02-18,14560.5,9184.1,15402.8,14549.2,14019.2461565287,14735.0,9880.0,15226.0,14780.0,14238.0,0.011984478554994737,0.07577225857732373,-0.011478432492793456,0.01586341517059342,0.015603823560044194
Sat,2022-02-19,11245.3,7766.75,12473.6,11484.6,11268.3266042575,11999.0,8135.0,12882.0,12105.0,11852.0,0.06702355650805236,0.04741365435993172,0.03274114930733707,0.05402016613552063,0.05179769953792168
Sun,2022-02-20,10075.0,7210.0,11038.0,10383.0,10077.3556200209,10753.0,7349.0,10788.0,10301.0,10157.0,0.06729528535980145,0.01927877947295431,-0.022649030621489374,-0.007897524800154043,0.007903301518988659
Mon,2022-02-21,13269.0,8714.0,14571.0,13726.0,13173.628371876,13674.0,8596.0,13382.0,12338.0,12493.0,0.030522269952520942,-0.013541427587789756,-0.08160043922860472,-0.10112195832726212,-0.05166597634779602
